ababa	a<r>bab<vr>a<va>
abazala	a<i6>ba<o2>zal<vr>a<va>, a<iv>ba<n2>zal<vr>a<der>
abazali	a<iv>ba<n2>zal<vr>i<hum>, a<neg>ba<g2>zal<vr>i<vg>
abazenzayo	a<r>ba<i2>z<o10>enz<p1_vr>a<va>yo<rsf>
abazenzi	a<neg>ba<g2>z<o10>enz<vr>i<vg>
abazi	a<neg>b<g2>azi<vr>
abazifisayo	a<r>ba<i2>zi<o10>fis<vr>a<va>yo<rsf>
abazifunayo	a<r>ba<i2>zi<o10>fun<vr>a<va>yo<rsf>
abazihlalele	a<r>ba<i2>zi<refl>hlal<vr>el<xa>e<vps>
abaziphatha	a<r>ba<i2>zi<o10>phath<vr>a<va>
abaziphethe	a<r>ba<i2>zi<o10>pheth<vr>e<vps>
abaziwayo	a<r>b<i2>az<p1_vr>iw<xp>a<va>yo<rsf>
abazofuna	a<r>ba<i2>zo<fut>fun<vr>a<va>
abazokukhombisa	a<r>ba<i2>zo<fut>ku<o15>khomb<vr>is<xc>a<va>
abazothenga	a<r>ba<i2>zo<fut>theng<vr>a<va>
abazukuhlala	a<neg>ba<g2>zu<fut>ku<n15>hlal<vr>a<va>
abe	a<i6>b<vr>e<vps>
abebekwenza	a<r>be<past>be<p2>kw<o15>enz<p1_vr>a<va>
abebengaqonde	a<r>be<p2>be<past>nga<neg>qond<vr>e<vps>
abebezivakashele	a<r>be<past>be<p2>zi<refl>vakash<vr>el<xa>e<vps>
abebusa	a<i6>be<past>bus<vr>a<va>
abefundisi	a<iv>be<n2>fund<vr>is<xc>i<hum>
abehlukana	a<r>b<p2>ehluk<vr>an<xr>a<va>
abekade	a<i6>be<past>kade<mr>
abeke	a<i6>bek<vr>e<vps>, a<s1>bek<vr>e<vs>, a<s6>bek<vr>e<vs>
abekezela	a<i6>bekezel<vr>a<va>
abekucele	a<i6>be<past>ku<o15>cel<vr>e<vps>
abelokhu	a<i6>be<past>lokhu<mr>
abelungu	a<iv>be<n2>lungu<nr>
abemgwema	a<i6>b<past>e<p6>m<o1>gwem<vr>a<va>
abempofu	a<r>be<p2>mpofu<ar>
abengamele	a<r>b<i2>engamel<vr>e<vps>
abenjalo	a<i6>be<past>njalo<adv>
abese	a<i6>be<past>se<mr>
abeseduze	a<r>be<p2>se<locpf>duze<adv>
abesesizakele	a<r>be<past>se<asp>si<n7>zakele<nr>
abesibeke	a<i6>b<past>e<p6>si<o1p>bek<vr>e<vps>
abezayo	a<r>b<i2>ez<vr>a<va>yo<rsf>
abhalisele	a<i6>bhal<vr>is<xc>el<xa>e<vps>, a<s1>bhal<vr>is<xc>el<xa>e<vs>
abheke	a<r>bhek<vr>e<vps>, a<s1>bhek<vr>e<vs>
abhokode	a<i6>bhokod<vr>e<vps>, a<s1>bhokod<vr>e<vs>, a<s6>bhokod<vr>e<vs>
abilayo	a<r>bil<vr>a<va>yo<rsf>
abitoze	a<i6>bitoz<vr>e<vps>, a<s1>bitoz<vr>e<vs>, a<s6>bitoz<vr>e<vs>
abizwe	a<i6>biz<vr>w<xp>e<vps>
abo	a<z6>bo<pr2>
abobuya	a<i6>bo<opt>buy<vr>a<va>
abomvu	a<r>bomvu<ar>
abona	a<i6>bon<vr>a<va>, a<z6>bo<pr2>na<st>
abonakale	a<i6>bon<vr>akal<xn>e<vps>, a<r>bon<vr>akal<xn>e<vps>, a<s1>bon<vr>akal<xn>e<vs>
abone	a<i6>bon<vr>e<vps>, a<s6>bon<vr>e<vs>
abonge	a<i6>bong<vr>e<vps>, a<s1>bong<vr>e<vs>
abrahama	abrahama<nr>
abukeke	a<i6>buk<vr>ek<xn>e<vps>
abulala	a<i6>bulal<vr>a<va>
abulale	a<i6>bulal<vr>e<vps>, a<s1>bulal<vr>e<vs>, a<s6>bulal<vr>e<vs>
abuse	a<s6>bus<vr>e<vs>
abuveze	a<i6>bu<o14>vez<vr>e<vps>
abuya	a<r>buy<vr>a<va>
abuye	a<i6>buy<vr>e<vps>, a<s1>buy<vr>e<vs>, a<s6>buy<vr>e<vs>
abuyele	a<i6>buy<vr>el<xa>e<vps>
abuze	a<i6>buz<vr>e<vps>, a<r>buz<vr>e<vps>, a<s1>buz<vr>e<vs>, a<s6>buz<vr>e<vs>
acabange	a<i6>cabang<vr>e<vps>, a<s1>cabang<vr>e<vs>, a<s6>cabang<vr>e<vs>
acabangisise	a<i6>cabang<vr>isis<xi>e<vps>
acashise	a<i6>cash<vr>is<xc>e<vps>
acasuke	a<s1>casuk<vr>e<vs>, a<s6>casuk<vr>e<vs>
acele	a<s1>cel<vr>e<vs>
achithe	a<r>chith<vr>e<vps>, a<s6>chith<vr>e<vs>
acingwe	a<i6>cing<vr>w<xp>e<vps>, a<s1>cing<vr>w<xp>e<vs>, a<s6>cing<vr>w<xp>e<vs>
acwala	a<i6>cwal<vr>a<va>
adam	adam<nr>
adamu	adamu<nr>
adedelwe	a<i6>dedel<vr>w<xp>e<vps>, a<s1>dedel<vr>w<xp>e<vs>, a<s6>dedel<vr>w<xp>e<vs>
adideke	a<i6>did<vr>ek<xn>e<vps>
adinge	a<i6>ding<vr>e<vps>, a<s1>ding<vr>e<vs>
adle	a<i6>dl<vr>e<vps>, a<s1>dl<vr>e<vs>
adoni	adoni<nr>
adonselwa	a<r>donsel<vr>w<xp>a<va>
adumbe	a<i6>dumb<vr>e<vps>, a<s1>dumb<vr>e<vs>, a<s6>dumb<vr>e<vs>
afakane	a<r>fak<vr>an<xr>e<vps>
afake	a<i6>fak<vr>e<vps>, a<s1>fak<vr>e<vs>
afande	a<i6>fand<vr>e<vps>, a<s1>fand<vr>e<vs>, a<s6>fand<vr>e<vs>
afanele	a<i6>fanel<vr>e<vps>
afe	a<i6>f<vr>e<vps>, a<s1>f<vr>e<vs>, a<s6>f<vr>e<vs>
afele	a<s1>f<vr>el<xa>e<vs>
afika	a<i6>fik<vr>a<va>
afike	a<i6>fik<vr>e<vps>, a<s1>fik<vr>e<vs>, a<s6>fik<vr>e<vs>
afinyelele	a<s1>finyelel<vr>e<vs>
africa	africa<nr>
afrika	afrika<nr>
afuna	a<i6>fun<vr>a<va>
afunde	a<i6>fund<vr>e<vps>, a<s1>fund<vr>e<vs>, a<s6>fund<vr>e<vs>
afune	a<i6>fun<vr>e<vps>, a<s1>fun<vr>e<vs>, a<s6>fun<vr>e<vs>
agane	a<s1>gan<vr>e<vs>, a<s6>gan<vr>e<vs>
agcizeleleke	a<i6>gcizel<vr>el<xa>ek<xn>e<vps>, a<i6>gcizelel<vr>ek<xn>e<vps>, a<s1>gcizelel<vr>ek<xn>e<vs>, a<s6>gcizelel<vr>ek<xn>e<vs>
agcobe	a<i6>gcob<vr>e<vps>, a<s1>gcob<vr>e<vs>
agingqike	a<s1>gingqik<vr>e<vs>
agugele	a<i6>gug<vr>el<xa>e<vps>
aguqe	a<r>guq<vr>e<vps>, a<s6>guq<vr>e<vs>
agwilize	a<i6>gwiliz<vr>e<vps>, a<s1>gwiliz<vr>e<vs>, a<s6>gwiliz<vr>e<vs>
ahamba	a<i6>hamb<vr>a<va>
ahambe	a<i6>hamb<vr>e<vps>, a<s1>hamb<vr>e<vs>, a<s6>hamb<vr>e<vs>
ahlabayo	a<r>hlab<vr>a<va>yo<rsf>
ahlabe	a<i6>hlab<vr>e<vps>, a<s1>hlab<vr>e<vs>, a<s6>hlab<vr>e<vs>
ahlakaniphile	a<i6>hlakaniph<vr>ile<vpl>
ahlala	a<i6>hlal<vr>a<va>
ahlale	a<i6>hlal<vr>e<vps>, a<s1>hlal<vr>e<vs>
ahlambulule	a<s1>hlambulul<vr>e<vs>
ahlangane	a<i6>hlangan<vr>e<vps>
ahle	a<i6>hle<mr>
ahleka	a<i6>hlek<vr>a<va>
ahleke	a<i6>hlek<vr>e<vps>, a<s1>hlek<vr>e<vs>, a<s6>hlek<vr>e<vs>
ahlolisise	a<i6>hlol<vr>isis<xi>e<vps>
ahlupheke	a<i6>hluph<vr>ek<xn>e<vps>, a<s1>hluph<vr>ek<xn>e<vs>, a<s6>hluph<vr>ek<xn>e<vs>
ajabule	a<i6>jabul<vr>e<vps>
akabange	a<neg>ka<g1>bang<vr>e<vps>, a<neg>ka<g1>bange<mr>
akabezwa	a<neg>ka<g1>bez<vr>w<xp>a<va>
akabona	a<neg>ka<g1>bo<pr2>na<st>
akaboni	a<neg>ka<g1>bon<vr>i<vg>
akabotshelwa	a<neg>ka<g1>bo<opt>tshel<vr>w<xp>a<va>
akacabangi	a<neg>ka<g1>cabang<vr>i<vg>
akachithanga	a<neg>ka<g1>chith<vr>anga<vpg>
akade	a<i6>kade<mr>
akadingi	a<neg>ka<g1>ding<vr>i<vg>
akafunde	a<hort>ka<s1>fund<vr>e<vs>
akafuni	a<neg>ka<g1>fun<vr>i<vg>
akagangile	a<i6>ka<asp>gang<vr>ile<vpl>, a<neg>ka<g1>gang<vr>ile<vpl>
akahambe	a<hort>ka<s1>hamb<vr>e<vs>
akahlakaniphile	a<neg>ka<g1>hlakaniph<vr>ile<vpl>
akahlale	a<hort>ka<s1>hlal<vr>e<vs>
akakakwazi	a<neg>ka<g1>ka<asp>kw<o15>azi<vr>
akakalilandi	a<neg>ka<g1>ka<asp>li<o5>land<vr>i<vg>
akakavuki	a<neg>ka<g1>ka<asp>vuk<vr>i<vg>
akakawufaki	a<neg>ka<g1>ka<asp>wu<o3>fak<vr>i<vg>
akakazilanduli	a<neg>ka<g1>ka<asp>zi<o10>landul<vr>i<vg>
akake	a<neg>ka<g1>ke<mr>
akakhulunyiswa	a<neg>ka<g1>khuluny<vr>is<xc>w<xp>a<va>
akakuyeke	a<neg>ka<g1>ku<o15>yek<vr>e<vps>
akakwazi	a<neg>ka<g1>kw<o15>azi<vr>
akalahlwa	a<neg>ka<g1>lahl<vr>w<xp>a<va>
akalindanga	a<neg>ka<g1>lind<vr>anga<vpg>
akalokothi	a<neg>ka<g1>lokoth<vr>i<vg>
akamkhombisi	a<neg>ka<g1>m<o1>khomb<vr>is<xc>i<vg>
akamnaka	a<neg>ka<neg>m<o1>nak<vr>a<va>
akamthengiseli	a<neg>ka<g1>m<o1>theng<vr>is<xc>el<xa>i<vg>
akanandaba	aka<neg>na<p>ndaba<nr>
akanangqando	a<neg>ka<g1>na<p>n<n9>gqand<vr>o<in>
akanangqondo	a<neg>ka<g1>na<p>n<n9>gqond<vr>o<in>
akanaye	a<neg>ka<g1>na<p>ye<pr1>
akanayo	a<neg>ka<g1>na<p>yo<pr9>
akaphiwa	a<neg>ka<g1>ph<vr>iw<xp>a<va>
akaphume	a<hort>ka<s1>phum<vr>e<vs>
akaphumeleli	a<neg>ka<g1>phumelel<vr>i<vg>
akasadlali	a<neg>ka<g1>sa<asp>dlal<vr>i<vg>
akasafuni	a<neg>ka<g1>sa<asp>fun<vr>i<vg>
akasakhulumisi	a<neg>ka<g1>sa<asp>khulum<vr>is<xc>i<vg>
akasalubhaqi	a<neg>ka<g1>sa<asp>lu<o11>bhaq<vr>i<vg>
akasayisuseli	a<neg>ka<g1>sa<asp>yi<o9>sus<vr>el<xa>i<vg>
akasemubi	a<neg>ka<g1>se<asp>mu<n1>bi<ar>
akasenakubuya	a<neg>ka<g1>se<asp>na<p>ku<n15>buy<vr>a<va>
akasenamandla	a<neg>ka<g1>se<asp>na<p>ma<n6>ndla<nr>
akasethathwe	a<neg>ka<g1>se<asp>thath<vr>w<xp>e<vps>
akasezukubuya	a<neg>ka<g1>se<asp>zu<fut>ku<n15>buy<vr>a<va>
akasheshanga	a<neg>ka<g1>shesh<vr>anga<vpg>
akathanda	a<iv>ka<neg>thand<vr>a<va>
akathandanga	a<neg>ka<g1>thand<vr>anga<vpg>
akathanga	a<neg>ka<g1>th<vr>anga<vpg>
akathatheni	a<neg>ka<g1>thath<vr>en<xr>i<vg>
akavale	a<s1>ka<asp>val<vr>e<vs>
akavinjwa	a<neg>ka<g1>vinj<vr>w<xp>a<va>
akawenzanga	a<neg>ka<g1>w<o6>enz<vr>anga<vpg>
akawufuni	a<neg>ka<g1>wu<o3>fun<vr>i<vg>
akayekwe	a<neg>ka<g1>yek<vr>w<xp>e<vps>
akayiboni	a<neg>ka<g1>yi<o4>bon<vr>i<vg>
akayolala	a<hort>ka<s1>yo<fut>lal<vr>a<va>
akazalwanga	a<neg>ka<g1>zal<vr>w<xp>anga<vpg>
akazange	a<neg>ka<g1>zang<vr>e<vs>
akaze	a<neg>ka<g1>ze<mr>
akazi	a<neg>k<g1>azi<vr>
akazimisele	a<neg>ka<g1>zi<refl>m<vr>is<xc>el<xa>e<vps>
akazubakhona	a<neg>ka<g1>zu<fut>b<vr>a<va>kho<adv>na<st>
akazukuba	a<neg>ka<g1>zu<fut>ku<n15>b<vr>a<va>
ake	ake<adv>
akekho	a<neg>k<g1>ekho<adv>
akenze	a<hort>k<s1>enz<vr>e<vs>, a<s6>kenz<vr>e<vs>
akeze	a<hort>k<s1>ez<vr>e<vs>
akezwa	a<hort>k<s1>ezw<vr>a<va>
akhale	a<s1>khal<vr>e<vs>
akhe	a<i6>kh<vr>e<vps>, a<s1>kh<vr>e<vs>, a<s6>kh<vr>e<vs>, a<z6>khe<pr1>
akhetha	a<i6>kheth<vr>a<va>
akhethe	a<i6>kheth<vr>e<vps>
akhexele	a<i6>khex<vr>el<xa>e<vs>
akhiphe	a<i6>khiph<vr>e<vps>, a<s1>khiph<vr>e<vs>, a<s6>khiph<vr>e<vs>
akho	a<z6>kho<pr2s>
akhohlwe	a<i6>khohl<vr>w<xp>e<vps>
akhombisa	a<i6>khomb<vr>is<xc>a<va>
akhuleka	a<i6>khul<vr>ek<xn>a<va>
akhulume	a<s1>khulum<vr>e<vs>
akhumbule	a<s1>khumbul<vr>e<vs>
akhungatheke	a<i6>khungath<vr>ek<xn>e<vps>
akhushulelwe	a<i6>khushul<vr>el<xa>w<xp>e<vps>
akhweleka	a<i6>khwel<vr>ek<xn>a<va>
akhwelephi	a<i6>khwel<vr>e<vps>phi<adv>
akoni	a<neg>k<g1>on<vr>i<vg>
akubange	a<hort>ku<s15>bang<vr>e<vs>
akube	a<hort>ku<s15>b<vr>e<vs>
akubokwenziwa	a<neg>ku<g15>bo<opt>kw<n15>enz<vr>iw<xp>a<va>
akucabange	a<i6>ku<o15>cabang<vr>e<vps>
akudliwa	a<neg>ku<g15>dl<vr>iw<xp>a<va>
akudobele	a<i6>ku<o15>dob<vr>el<xa>e<vps>
akufananga	a<neg>ku<g15>fan<vr>anga<vpg>
akufanele	a<neg>ku<g15>fan<vr>el<xa>e<vps>, a<neg>ku<g15>fanel<vr>e<vps>
akufikanga	a<neg>ku<g15>fik<vr>anga<vpg>
akufunayo	a<r>ku<o15>fun<vr>a<va>yo<rsf>
akufunde	a<i6>ku<o15>fund<vr>e<vps>
akuhambi	a<neg>ku<g15>hamb<vr>i<vg>
akukhethi	a<neg>ku<g15>kheth<vr>i<vg>
akukho	a<neg>ku<g15>kho<adv>
akukhona	a<neg>ku<g15>kho<adv>na<st>
akukhulunywa	a<neg>ku<g15>khuluny<vr>w<xp>a<va>
akukhumbule	a<r>ku<i15>khumbul<vr>e<vps>
akukwakho	a<neg>ku<g15>kwa<p>kho<pr2s>
akumangalisi	a<neg>ku<g15>mangal<vr>is<xc>i<vg>
akumsizanga	a<neg>ku<g15>m<o1>siz<vr>anga<vpg>
akumsizi	a<neg>ku<g15>m<o1>siz<vr>i<vg>
akunakwenzeka	a<neg>ku<g15>na<p>kw<n15>enz<vr>ek<xn>a<va>
akungeni	a<neg>ku<g15>ngen<vr>i<vg>
akungihluphi	a<neg>ku<g15>ngi<o1s>hluph<vr>i<vg>
akungiphathi	a<neg>ku<g15>ngi<o1s>phath<vr>i<vg>
akungiphe	a<hort>ku<s15>ngi<o1s>ph<vr>e<vs>
akunjena	a<neg>ku<g15>nje<ar>na<st>
akunyama	a<neg>ku<g15>nyama<ar>
akuphelanga	a<neg>ku<g15>phel<vr>anga<vpg>
akuphume	a<hort>ku<s15>phum<vr>e<vs>
akupuneki	a<neg>ku<g15>pun<vr>ek<xn>i<vg>
akusasho	a<neg>ku<g15>sa<asp>sho<vr>
akusasizi	a<neg>ku<g15>sa<asp>siz<vr>i<vg>
akusavumi	a<neg>ku<g15>sa<asp>vum<vr>i<vg>
akusekho	a<neg>ku<g15>se<asp>kho<adv>
akushesheki	a<neg>ku<g15>shesh<vr>ek<xn>i<vg>
akusho	a<neg>ku<g15>sho<vr>
akusibo	a<neg>ku<g15>si<p>bo<pr2>
akusile	a<neg>ku<g15>s<vr>ile<vpl>
akusiyona	a<neg>ku<g15>si<p>yo<pr9>na<st>
akusizanga	a<neg>ku<g15>siz<vr>anga<vpg>
akusizi	a<neg>ku<g15>siz<vr>i<vg>
akususe	a<hort>ku<s15>sus<vr>e<vs>
akuthi	a<neg>ku<g15>th<vr>i<vg>
akuvami	a<neg>ku<g15>vam<vr>i<vg>
akuvinjwe	a<neg>ku<g15>vinj<vr>w<xp>e<vps>
akuwona	a<neg>ku<g15>wo<pr3>na<st>
akuyeke	a<s1>ku<o2s>yek<vr>e<vs>, a<s6>ku<o2s>yek<vr>e<vs>
akuyena	a<neg>ku<g15>ye<pr1>na<st>
akuyikho	a<neg>ku<g15>yi<p>kho<pr15>
akuyo	a<neg>ku<g15>yo<pr9>
akuyona	a<neg>ku<g15>yo<pr9>na<st>
akuzange	a<neg>ku<g15>zange<mr>
akuze	a<hort>ku<s15>z<vr>e<vs>
akuzona	a<neg>ku<g15>zo<pr10>na<st>
akuzuyiwa	a<neg>ku<g15>zu<fut>y<vr>iw<xp>a<va>
akuzwakali	a<neg>ku<g15>zw<vr>akal<xn>i<vg>
akwanele	a<neg>kw<g15>anel<vr>e<vps>
akwazi	a<neg>kw<g2s>azi<vr>
akwaziwa	a<neg>kw<g15>az<p1_vr>iw<xp>a<va>
akwengule	a<r>kw<i15>engul<vr>e<vps>
akwenzekanga	a<neg>kw<g15>enz<vr>ek<xn>anga<vpg>
akwenzeki	a<neg>kw<g15>enz<vr>ek<xn>i<vg>
akwenzele	a<hort>kw<s15>enz<vr>el<xa>e<vs>
akwenziwa	a<neg>kw<g15>enz<vr>iw<xp>a<va>
alale	a<i6>lal<vr>e<vps>, a<r>lal<vr>e<vps>
alandelandele	a<i6>landeland<vr>el<xa>e<vps>
alandilandiswe	a<i6>landiland<vr>is<xc>w<xp>e<vps>
alayeze	a<i6>layez<vr>e<vps>
alekelele	a<s1>lekelel<vr>e<vs>, a<s6>lekelel<vr>e<vs>
alesi	a<z6>lesi<nr>
alfred	alfred<nr>
alibhekisisa	a<i6>li<o5>bhek<vr>isis<xi>a<va>
